id_producto,nombre,marca,color,precio_actual,precio_anterior,moneda,en_descuento,es_nuevo,venta_rapida,promocion,url_producto,url_imagen
210689397,Pompeii elan sala leather rubber sole sneakers in white and red,Pompeii UK,Multi,215.0,,USD,False,False,False,False,pompeii-uk/pompeii-elan-sala-leather-rubber-sole-sneakers-in-white-and-red/prd/210689397#colourWayId-210689398,images.asos-media.com/products/pompeii-elan-sala-leather-rubber-sole-sneakers-in-white-and-red/210689397-1-multi
209792317,Walk London Roma saddle loafer in black leather,WALK LONDON,Black,128.0,,USD,False,False,True,False,walk-london/walk-london-roma-saddle-loafer-in-black-leather/prd/209792317#colourWayId-209792319,images.asos-media.com/products/walk-london-roma-saddle-loafer-in-black-leather/209792317-1-black
210232596,Nike Air Force 1 '07 LV8 sneakers in gray,Nike,Gray,125.0,,USD,False,False,False,False,nike/nike-air-force-1-07-lv8-sneakers-in-gray/prd/210232596#colourWayId-210232597,images.asos-media.com/products/nike-air-force-1-07-lv8-sneakers-in-gray/210232596-1-grey
209792236,Walk London Track saddle mules in tan suede,WALK LONDON,Tan,101.0,,USD,False,False,False,False,walk-london/walk-london-track-saddle-mules-in-tan-suede/prd/209792236#colourWayId-209792237,images.asos-media.com/products/walk-london-track-saddle-mules-in-tan-suede/209792236-1-tan
209792316,Walk London Ezra Backstrap sandals in black leather,WALK LONDON,Black,101.0,,USD,False,False,False,False,walk-london/walk-london-ezra-backstrap-sandals-in-black-leather/prd/209792316#colourWayId-209792318,images.asos-media.com/products/walk-london-ezra-backstrap-sandals-in-black-leather/209792316-1-black
209874760,ASOS DESIGN loafers in black leather with fringe and buckle detailing,ASOS DESIGN,Black,99.99,,USD,False,False,False,False,asos-design/asos-design-loafers-in-black-leather-with-fringe-and-buckle-detailing/prd/209874760#colourWayId-209874763,images.asos-media.com/products/asos-design-loafers-in-black-leather-with-fringe-and-buckle-detailing/209874760-1-black
210331856,ASOS DESIGN lace up boat shoes in brown leather,ASOS DESIGN,BROWN,79.99,,USD,False,False,False,False,asos-design/asos-design-lace-up-boat-shoes-in-brown-leather/prd/210331856#colourWayId-210331862,images.asos-media.com/products/asos-design-lace-up-boat-shoes-in-brown-leather/210331856-1-brown
210575860,ASOS DESIGN pannelled lace up sneakers with mesh detailing in beige,ASOS DESIGN,BEIGE & OFF WHITE,64.99,,USD,False,False,False,False,asos-design/asos-design-pannelled-lace-up-sneakers-with-mesh-detailing-in-beige/prd/210575860#colourWayId-210575869,images.asos-media.com/products/asos-design-pannelled-lace-up-sneakers-with-mesh-detailing-in-beige/210575860-1-beigeoffwhite
210576060,ASOS DESIGN lace up sneakers with gum sole in pebbled white,ASOS DESIGN,WHITE,64.99,,USD,False,False,False,False,asos-design/asos-design-lace-up-sneakers-with-gum-sole-in-pebbled-white/prd/210576060#colourWayId-210576063,images.asos-media.com/products/asos-design-lace-up-sneakers-with-gum-sole-in-pebbled-white/210576060-1-white
210576119,ASOS DESIGN lace up sports sneakers in black knit,ASOS DESIGN,Black,54.99,,USD,False,False,False,False,asos-design/asos-design-lace-up-sports-sneakers-in-black-knit/prd/210576119#colourWayId-210576135,images.asos-media.com/products/asos-design-lace-up-sports-sneakers-in-black-knit/210576119-1-black
210576451,ASOS DESIGN lace up sneakers with gum sole in dark khaki suede,ASOS DESIGN,Khaki,59.99,,USD,False,False,False,False,asos-design/asos-design-lace-up-sneakers-with-gum-sole-in-dark-khaki-suede/prd/210576451#colourWayId-210576452,images.asos-media.com/products/asos-design-lace-up-sneakers-with-gum-sole-in-dark-khaki-suede/210576451-1-khaki
210847027,ASOS DESIGN lace up sneakers in white with sage heel notch,ASOS DESIGN,WHITE & SAGE,59.99,,USD,False,False,False,False,asos-design/asos-design-lace-up-sneakers-in-white-with-sage-heel-notch/prd/210847027#colourWayId-210847032,images.asos-media.com/products/asos-design-lace-up-sneakers-in-white-with-sage-heel-notch/210847027-1-whitesage
200513510,Nike Air Huarache sneakers in white,Nike,White,140.0,,USD,False,False,False,False,nike/nike-air-huarache-sneakers-in-white/prd/200513510#colourWayId-200513512,images.asos-media.com/products/nike-air-huarache-sneakers-in-white/200513510-1-white
202330529,Nike Dunk Low Retro sneakers in black and white,Nike,Black/ white,86.5,115.0,USD,True,False,True,False,nike/nike-dunk-low-retro-sneakers-in-black-and-white/prd/202330529#colourWayId-202330530,images.asos-media.com/products/nike-dunk-low-retro-sneakers-in-black-and-white/202330529-1-blackwhite
204590395,Nike Dunk Low jumbo sneakers black and white,Nike,Black,87.5,125.0,USD,True,False,False,False,nike/nike-dunk-low-jumbo-sneakers-black-and-white/prd/204590395#colourWayId-204590412,images.asos-media.com/products/nike-dunk-low-jumbo-sneakers-black-and-white/204590395-1-black
205039624,Nike Air Max 90 LTR sneakers in triple white,Nike,WHITE,234.0,,USD,False,False,False,False,nike/nike-air-max-90-ltr-sneakers-in-triple-white/prd/205039624#colourWayId-205039629,images.asos-media.com/products/nike-air-max-90-ltr-sneakers-in-triple-white/205039624-1-white
207058367,Nike LD-1000 unisex sneakers in red and silver,Nike,RED,70.0,100.0,USD,True,False,False,False,nike/nike-ld-1000-unisex-sneakers-in-red-and-silver/prd/207058367#colourWayId-207058379,images.asos-media.com/products/nike-ld-1000-unisex-sneakers-in-red-and-silver/207058367-1-red
207272869,Reebok Campio sneakers in off-white and green,Reebok,CREAM,80.0,,USD,False,False,False,False,reebok/reebok-campio-sneakers-in-off-white-and-green/prd/207272869#colourWayId-207272870,images.asos-media.com/products/reebok-campio-sneakers-in-off-white-and-green/207272869-1-cream
207869814,New Balance M1000 unisex sneakers in silver and beige,New Balance,BEIGE,112.5,149.99,USD,True,False,False,False,new-balance/new-balance-m1000-unisex-sneakers-in-silver-and-beige/prd/207869814#colourWayId-207869815,images.asos-media.com/products/new-balance-m1000-unisex-sneakers-in-silver-and-beige/207869814-1-beige
207985448,New Balance 471 unisex sneakers in light pink,New Balance,BEIGE,82.5,109.99,USD,True,False,True,False,new-balance/new-balance-471-unisex-sneakers-in-light-pink/prd/207985448#colourWayId-207985453,images.asos-media.com/products/new-balance-471-unisex-sneakers-in-light-pink/207985448-1-beige
208063067,Puma Palermo unisex sneakers in white and blue detail,Puma,WHITE,91.0,130.0,USD,True,False,False,False,puma/puma-palermo-unisex-sneakers-in-white-and-blue-detail/prd/208063067#colourWayId-208063068,images.asos-media.com/products/puma-palermo-unisex-sneakers-in-white-and-blue-detail/208063067-1-white
209792240,Walk London Roma boat shoes in stone suede,WALK LONDON,Stone suede,128.0,,USD,False,False,False,False,walk-london/walk-london-roma-boat-shoes-in-stone-suede/prd/209792240#colourWayId-209792245,images.asos-media.com/products/walk-london-roma-boat-shoes-in-stone-suede/209792240-1-stonesuede
