id_producto,nombre,marca,color,precio_actual,precio_minimo,precio_maximo,moneda,disponibilidad,proximamente,es_nuevo,en_linea,categoria,tallas_disponibles,cantidad_tallas,stock_total_api,url_producto,url_imagen,fuente
1340756002,Crinkled Satin Pants,H&M,Dark gray,19.99,19.99,19.99,USD,Available,False,True,True,ladies_trousers_barrel,"L, XL, XXL, XXS, XS, S, M",7,14,https://www2.hm.com/en_us/productpage.1340756002.html,https://image.hm.com/assets/hm/7b/ca/7bca9997cc1285fa703aff92fbbb1fd678ada983.jpg,H&M
1297196003,Oversized Poplin Shirt,H&M,Dark red/striped,19.99,19.99,19.99,USD,Available,False,False,True,ladies_shirtsblouses_shirts,"M, S, XS, XL, L",5,10,https://www2.hm.com/en_us/productpage.1297196003.html,https://image.hm.com/assets/hm/29/7b/297b3423a31326028581176a02aba716461778fb.jpg,H&M
1350139002,Flared-Skirt Twill Dress,H&M,Cream,59.99,59.99,59.99,USD,Available,False,True,True,ladies_dresses_backless,"M, S, XS, L",4,8,https://www2.hm.com/en_us/productpage.1350139002.html,https://image.hm.com/assets/hm/48/78/4878ca4a89d52790e1fec2eb922b9c8532205d4d.jpg,H&M
1342471002,Bandeau Maxi Dress,H&M,Black,24.99,24.99,24.99,USD,Available,False,False,True,ladies_dresses_aline,"XS, M, S, XL, L, XXL",6,12,https://www2.hm.com/en_us/productpage.1342471002.html,https://image.hm.com/assets/hm/01/98/01981c1cb79d1eb89d8f0e6e6b9d07990d0c23e2.jpg,H&M
1348614001,Oversized Linen-Blend Shirt,H&M,Light yellow/floral,49.99,49.99,49.99,USD,Available,False,True,True,ladies_premium_selection_tops,"XS, L, XL, S, M",5,10,https://www2.hm.com/en_us/productpage.1348614001.html,https://image.hm.com/assets/hm/8e/9b/8e9bcf062f602d04fd21492712b1d32c377de4e0.jpg,H&M
1350596002,Bubble-Hem Crêpe Top,H&M,Pink,29.99,29.99,29.99,USD,Available,False,True,True,ladies_tops_shortsleeve,"S, XS, L, M",4,8,https://www2.hm.com/en_us/productpage.1350596002.html,https://image.hm.com/assets/hm/cd/6d/cd6d22f1d752c427062bb9f9109b96ecc86e6b09.jpg,H&M
1348799001,Sleeveless Wrap Top,H&M,Cream,9.99,9.99,9.99,USD,Available,False,False,True,ladies_tops,"M, S, XS",3,6,https://www2.hm.com/en_us/productpage.1348799001.html,https://image.hm.com/assets/hm/8f/52/8f5284dd6f45244f49c9e5b2b06526e1becea97d.jpg,H&M
1199249058,Wide-leg Joggers,H&M,Dark gray,19.99,19.99,19.99,USD,Available,False,False,True,ladies_basics_trousersleggings,"XXL, L, XL, S, M, XS",6,12,https://www2.hm.com/en_us/productpage.1199249058.html,https://image.hm.com/assets/hm/ab/07/ab074486bd6897dbd1a60b40ac3a945bce2b61fe.jpg,H&M
1350347001,Draped Halterneck Top,H&M,Light blue,19.99,19.99,19.99,USD,Available,False,True,True,ladies_tops_halterneck,"XS, S, M, L, XL, XXL",6,12,https://www2.hm.com/en_us/productpage.1350347001.html,https://image.hm.com/assets/hm/bc/a4/bca47264fe9ca75ab8c1a2242c81bdc38f7e0619.jpg,H&M
1354570002,Cotton-Blend Polo Shirt,H&M,Dark blue,24.99,24.99,24.99,USD,Available,False,True,True,ladies_tops_collared,"XL, L, M, S, XS",5,10,https://www2.hm.com/en_us/productpage.1354570002.html,https://image.hm.com/assets/hm/44/24/4424b3bc7234d1ae156e979375c76c3d9f11a568.jpg,H&M
