id_unico,valor_real,prediccion_dummy_regressor,error_dummy_regressor,prediccion_regresion_lineal,error_regresion_lineal,prediccion_random_forest,error_random_forest,prediccion_histgradientboosting,error_histgradientboosting
ASOS_207394233,65.25,59.64462439024389,5.605375609756109,64.63788877841824,0.6121112215817561,66.07133354375885,0.821333543758854,63.432113677424915,1.8178863225750845
ASOS_207394233,65.25,59.64462439024389,5.605375609756109,64.7278653719033,0.5221346280966941,65.95562244442206,0.7056224444220618,63.50388206550334,1.7461179344966595
ASOS_207394233,65.25,59.64462439024389,5.605375609756109,64.6907830431739,0.5592169568261056,65.90887342952475,0.6588734295247463,63.49764148943085,1.7523585105691524
ASOS_207394233,65.25,59.64462439024389,5.605375609756109,64.63788892231065,0.6121110776893488,66.23586576570217,0.9858657657021723,63.432113677424915,1.8178863225750845
ASOS_207394233,65.25,59.64462439024389,5.605375609756109,64.70214605223605,0.5478539477639544,65.85346371165376,0.6034637116537596,63.49355607553085,1.7564439244691528
ASOS_210958783,51.83,59.64462439024389,7.8146243902438925,51.85829517934488,0.02829517934488024,48.75877310542337,3.0712268945766255,50.25124213376154,1.5787578662384618
ASOS_210958783,43.5,59.64462439024389,16.14462439024389,43.494502154809325,0.005497845190674866,40.99952029036014,2.500479709639862,41.70804455396464,1.7919554460353595
ASOS_210958783,43.5,59.64462439024389,16.14462439024389,43.45741982607992,0.04258017392007929,40.92777213887849,2.5722278611215117,41.70804455396464,1.7919554460353595
ASOS_210958783,51.83,59.64462439024389,7.8146243902438925,51.858295323237286,0.028295323237287562,48.592230718644686,3.2377692813553125,50.20572112315564,1.6242788768443575
ASOS_210958783,31.0,59.64462439024389,28.64462439024389,30.991386372399916,0.008613627600084328,30.013707242972153,0.9862927570278472,28.413915817845954,2.586084182154046
ASOS_210442536,64.25,59.64462439024389,4.605375609756109,64.20862488871909,0.04137511128091376,63.061508553804316,1.188491446195684,64.24978637974681,0.00021362025319149325
ASOS_210442536,64.25,59.64462439024389,4.605375609756109,64.29860148220415,0.04860148220414828,63.00109596259687,1.248904037403129,64.14048365154687,0.10951634845312697
ASOS_210442536,64.25,59.64462439024389,4.605375609756109,64.26151915347474,0.011519153474736754,63.06165919511004,1.188340804889961,64.13938591776483,0.11061408223517333
ASOS_210442536,64.25,59.64462439024389,4.605375609756109,64.2086250326115,0.041374967388506434,63.00306936788803,1.2469306321119689,64.18869814346299,0.06130185653701403
ASOS_210442536,64.25,59.64462439024389,4.605375609756109,64.27288216253689,0.022882162536888018,63.15347935861835,1.0965206413816517,64.18895913791208,0.061040862087921255
ASOS_211284470,57.25,59.64462439024389,2.394624390243891,57.20891434913821,0.04108565086178828,57.85913963922047,0.6091396392204729,57.146542416458274,0.10345758354172574
ASOS_211284470,57.25,59.64462439024389,2.394624390243891,57.29889094262327,0.04889094262326665,57.82340627962748,0.573406279627477,57.04688574203837,0.20311425796163007
ASOS_211284470,57.25,59.64462439024389,2.394624390243891,57.26180861389385,0.011808613893848019,57.72420311819404,0.4742031181940405,57.110734660765026,0.1392653392349743
ASOS_211284470,57.25,59.64462439024389,2.394624390243891,57.20891449303061,0.041085506969388064,57.758399143848834,0.508399143848834,57.14962425210261,0.10037574789738812
ASOS_211284470,57.25,59.64462439024389,2.394624390243891,57.273171622956,0.023171622955999283,57.85568013999865,0.6056801399986469,57.11310941031858,0.1368905896814212
ASOS_210576226,52.5,59.64462439024389,7.144624390243891,52.45856050602645,0.041439493973548736,52.57667472329883,0.0766747232988294,52.47378397057009,0.026216029429910748
ASOS_210576226,52.5,59.64462439024389,7.144624390243891,52.5485370995115,0.04853709951149909,52.194470509913565,0.3055294900864354,52.4803951465662,0.019604853433797587
ASOS_210576226,52.5,59.64462439024389,7.144624390243891,52.51145477078209,0.011454770782087564,52.267827891819216,0.2321721081807837,52.4803951465662,0.019604853433797587
ASOS_210576226,52.5,59.64462439024389,7.144624390243891,52.45856064991886,0.04143935008114141,52.44898911172714,0.05101088827286304,52.47378397057009,0.026216029429910748
ASOS_210576226,52.5,59.64462439024389,7.144624390243891,52.52281777984424,0.022817779844238828,51.57731185139845,0.9226881486015515,52.446782450829154,0.05321754917084576
ASOS_210651992,41.5,59.64462439024389,18.14462439024389,41.933240122092016,0.4332401220920161,41.68226734534687,0.1822673453468724,41.592473594327764,0.09247359432776392
ASOS_210651992,49.83,59.64462439024389,9.814624390243893,48.927880593014756,0.9021194069852427,49.618058014257365,0.21194198574263368,49.622323285699444,0.207676714300554
ASOS_210651992,41.5,59.64462439024389,18.14462439024389,41.98613438684765,0.4861343868476524,41.7410449037898,0.24104490378979904,41.45499392185233,0.04500607814767221
ASOS_210651992,41.5,59.64462439024389,18.14462439024389,41.93324026598441,0.43324026598440923,41.476171639652,0.023828360347998512,41.097989948088916,0.4020100519110841
ASOS_210651992,54.0,59.64462439024389,5.644624390243891,53.549478495096245,0.45052150490375453,53.202294105241165,0.7977058947588347,54.31355880271979,0.31355880271978975
ASOS_210442617,64.25,59.64462439024389,4.605375609756109,64.20863491920842,0.041365080791578634,63.073068062559905,1.176931937440095,64.24978637974681,0.00021362025319149325
ASOS_210442617,64.25,59.64462439024389,4.605375609756109,64.29861151269347,0.048611512693469194,63.12103779290826,1.128962207091739,64.14048365154687,0.10951634845312697
ASOS_210442617,64.25,59.64462439024389,4.605375609756109,64.26152918396406,0.011529183964057665,63.184836677694804,1.065163322305196,64.13938591776483,0.11061408223517333
ASOS_210442617,64.25,59.64462439024389,4.605375609756109,64.20863506310081,0.04136493689918552,63.07757088861951,1.172429111380488,64.18869814346299,0.06130185653701403
ASOS_210442617,64.25,59.64462439024389,4.605375609756109,64.27289219302621,0.02289219302620893,63.21543539454946,1.0345646054505409,64.18895913791208,0.061040862087921255
ASOS_210457607,69.25,59.64462439024389,9.60537560975611,69.2085595291808,0.04144047081919666,68.2136765089764,1.0363234910235946,68.19405617343821,1.055943826561787
ASOS_210457607,69.25,59.64462439024389,9.60537560975611,69.29853612266585,0.04853612266585117,68.27006373001157,0.9799362699884284,68.18952505914721,1.0604749408527852
ASOS_210457607,69.25,59.64462439024389,9.60537560975611,69.26145379393644,0.011453793936439638,68.28373542576327,0.9662645742367317,68.16394207185084,1.0860579281491596
ASOS_210457607,69.25,59.64462439024389,9.60537560975611,69.20855967307321,0.04144032692678934,68.16768021556085,1.0823197844391501,68.19405617343821,1.055943826561787
ASOS_210457607,69.25,59.64462439024389,9.60537560975611,69.27281680299859,0.0228168029985909,68.33814204861642,0.9118579513835812,68.17160332998542,1.078396670014584
ASOS_210499927,47.5,59.64462439024389,12.14462439024389,47.45858055530486,0.04141944469513703,47.57087657332014,0.07087657332014174,47.47279461187046,0.027205388129537766
ASOS_210499927,47.5,59.64462439024389,12.14462439024389,47.54855714878991,0.0485571487899108,47.608565905718834,0.10856590571883373,47.52843360051704,0.028433600517040247
ASOS_210499927,47.5,59.64462439024389,12.14462439024389,47.511474820060506,0.011474820060506374,47.494719086276795,0.0052809137232046055,47.473959644649746,0.026040355350254174
ASOS_210499927,47.5,59.64462439024389,12.14462439024389,47.45858069919726,0.041419300802736814,47.630248580723226,0.13024858072322587,47.476572754565126,0.023427245434874067
ASOS_210499927,47.5,59.64462439024389,12.14462439024389,47.52283782912266,0.022837829122657638,47.62244286829637,0.12244286829636764,47.504197445903664,0.004197445903663777
ASOS_210672078,41.5,59.64462439024389,18.14462439024389,41.933239824518154,0.4332398245181537,41.90381677035331,0.4038167703533091,41.63465972337813,0.13465972337812815
ASOS_210672078,49.83,59.64462439024389,9.814624390243893,48.92788029544089,0.9021197045591052,50.043055090125954,0.21305509012595536,49.531537222933494,0.29846277706650426
ASOS_210672078,41.5,59.64462439024389,18.14462439024389,41.98613408927379,0.48613408927379,41.968534032592444,0.4685340325924443,41.49060627863104,0.009393721368958552
ASOS_210672078,41.5,59.64462439024389,18.14462439024389,41.93323996841055,0.4332399684105468,41.81300297855351,0.3130029785535129,41.13360230486763,0.3663976951323704
