id_unico,valor_real,prediccion_dummy_regressor,error_dummy_regressor,prediccion_regresion_lineal,error_regresion_lineal,prediccion_random_forest,error_random_forest,prediccion_histgradientboosting,error_histgradientboosting
ASOS_207394233,65.25,59.64462439024389,5.605375609756109,67.79990250778725,2.5499025077872517,68.07305269135084,2.8230526913508385,63.72213097286995,1.527869027130052
ASOS_207394233,65.25,59.64462439024389,5.605375609756109,64.68469925410221,0.5653007458977868,67.88667096345843,2.636670963458428,63.72499643731577,1.5250035626842333
ASOS_207394233,65.25,59.64462439024389,5.605375609756109,64.46798380964577,0.7820161903542271,68.05775727136835,2.807757271368345,63.78259225599728,1.4674077440027204
ASOS_207394233,65.25,59.64462439024389,5.605375609756109,67.79990250656391,2.5499025065639103,67.9879238437636,2.737923843763596,63.69463461065401,1.5553653893459867
ASOS_207394233,65.25,59.64462439024389,5.605375609756109,63.180471613240826,2.069528386759174,67.98801080277576,2.7380108027757615,63.79843920735264,1.4515607926473635
ASOS_210958783,51.83,59.64462439024389,7.8146243902438925,49.02379904353454,2.80620095646546,50.16890494508404,1.661095054915961,49.701357275246146,2.1286427247538526
ASOS_210958783,43.5,59.64462439024389,16.14462439024389,45.9085957898495,2.4085957898494996,42.39652585403203,1.1034741459679722,41.298299933151526,2.201700066848474
ASOS_210958783,43.5,59.64462439024389,16.14462439024389,45.69188034539306,2.1918803453930593,42.552633732252964,0.9473662677470358,41.3869249021016,2.1130750978984025
ASOS_210958783,51.83,59.64462439024389,7.8146243902438925,49.0237990423112,2.8062009576888016,49.89332293028137,1.9366770697186269,49.70255519000733,2.1274448099926673
ASOS_210958783,31.0,59.64462439024389,28.64462439024389,44.40436814898811,13.404368148988112,33.126737682839384,2.1267376828393836,28.81445228107116,2.1855477189288415
ASOS_210442536,64.25,59.64462439024389,4.605375609756109,67.16268266271197,2.9126826627119726,63.62909875244095,0.620901247559047,63.78670323348534,0.46329676651465945
